site_id,model_id,reference_datetime,datetime,variable,crps,horizon
BARR,XGBoost,2024-02-21,2024-03-16,nee,0.06016351363725566,24
BARR,XGBoost,2024-02-21,2024-03-17,nee,0.06947049532683319,25
BARR,XGBoost,2024-02-21,2024-03-18,nee,0.06513496059463654,26
BARR,XGBoost,2024-02-21,2024-03-19,nee,0.06068405949098452,27
BARR,XGBoost,2024-02-21,2024-03-20,nee,0.12696278497917637,28
BARR,XGBoost,2024-02-21,2024-03-21,nee,0.06575799859853902,29
BARR,XGBoost,2024-02-21,2024-03-22,nee,0.057847531657423276,30
BARR,XGBoost,2024-02-21,2024-03-24,nee,0.09974065331804326,32
BARR,XGBoost,2024-02-21,2024-03-25,nee,0.049320684612255264,33
BARR,XGBoost,2024-02-22,2024-03-14,nee,0.07584631611934686,21
BARR,XGBoost,2024-02-22,2024-03-16,nee,0.05730929366789933,23
BARR,XGBoost,2024-02-22,2024-03-17,nee,0.07485617442251087,24
BARR,XGBoost,2024-02-22,2024-03-18,nee,0.08395725702669139,25
BARR,XGBoost,2024-02-22,2024-03-19,nee,0.05483059857061035,26
BARR,XGBoost,2024-02-22,2024-03-20,nee,0.12208732143367103,27
BARR,XGBoost,2024-02-22,2024-03-21,nee,0.05167128668858035,28
BARR,XGBoost,2024-02-22,2024-03-22,nee,0.0697725227479318,29
BARR,XGBoost,2024-02-22,2024-03-24,nee,0.10968047950199554,31
BARR,XGBoost,2024-02-22,2024-03-25,nee,0.05629334108500932,32
BARR,XGBoost,2024-02-23,2024-03-14,nee,0.05333602358020963,20
BARR,XGBoost,2024-02-23,2024-03-16,nee,0.05266222011201171,22
BARR,XGBoost,2024-02-23,2024-03-17,nee,0.05032326690438548,23
BARR,XGBoost,2024-02-23,2024-03-18,nee,0.11359070867414267,24
BARR,XGBoost,2024-02-23,2024-03-19,nee,0.07360006027569403,25
BARR,XGBoost,2024-02-23,2024-03-20,nee,0.144595251334737,26
BARR,XGBoost,2024-02-23,2024-03-21,nee,0.08698619734141536,27
BARR,XGBoost,2024-02-23,2024-03-22,nee,0.052084773225873036,28
BARR,XGBoost,2024-02-23,2024-03-24,nee,0.10026294735908786,30
BARR,XGBoost,2024-02-23,2024-03-25,nee,0.06793260378140985,31
BARR,XGBoost,2024-02-23,2024-03-28,nee,0.06891806888603347,34
BARR,XGBoost,2024-02-24,2024-03-14,nee,0.07085985637748822,19
BARR,XGBoost,2024-02-24,2024-03-16,nee,0.06959885001790399,21
BARR,XGBoost,2024-02-24,2024-03-17,nee,0.05376680915822555,22
BARR,XGBoost,2024-02-24,2024-03-18,nee,0.0785503549783174,23
BARR,XGBoost,2024-02-24,2024-03-19,nee,0.10351987022229935,24
BARR,XGBoost,2024-02-24,2024-03-20,nee,0.1438292328865391,25
BARR,XGBoost,2024-02-24,2024-03-21,nee,0.07525782973184406,26
BARR,XGBoost,2024-02-24,2024-03-22,nee,0.07714844976209288,27
BARR,XGBoost,2024-02-24,2024-03-24,nee,0.14543040401426607,29
BARR,XGBoost,2024-02-24,2024-03-25,nee,0.0753387086090407,30
BARR,XGBoost,2024-02-24,2024-03-28,nee,0.0836907837436475,33
BARR,XGBoost,2024-02-24,2024-03-29,nee,0.066748140392197,34
BARR,XGBoost,2024-02-25,2024-03-14,nee,0.0710724692148287,18
BARR,XGBoost,2024-02-25,2024-03-16,nee,0.06332225552588604,20
BARR,XGBoost,2024-02-25,2024-03-17,nee,0.07690276211875384,21
BARR,XGBoost,2024-02-25,2024-03-18,nee,0.07508740290194973,22
BARR,XGBoost,2024-02-25,2024-03-19,nee,0.05552697792698659,23
BARR,XGBoost,2024-02-25,2024-03-20,nee,0.19894962238381322,24
BARR,XGBoost,2024-02-25,2024-03-21,nee,0.0859612028472889,25
BARR,XGBoost,2024-02-25,2024-03-22,nee,0.08223754941300854,26
BARR,XGBoost,2024-02-25,2024-03-24,nee,0.13304086253541522,28
BARR,XGBoost,2024-02-25,2024-03-25,nee,0.08834949925772312,29
BARR,XGBoost,2024-02-25,2024-03-28,nee,0.07306786515472781,32
BARR,XGBoost,2024-02-25,2024-03-29,nee,0.06127152468508751,33
BARR,XGBoost,2024-02-25,2024-03-30,nee,0.07327115938616302,34
BARR,XGBoost,2024-02-26,2024-03-14,nee,0.08379635073211136,17
BARR,XGBoost,2024-02-26,2024-03-16,nee,0.06984670337109243,19
BARR,XGBoost,2024-02-26,2024-03-17,nee,0.06287299173689195,20
BARR,XGBoost,2024-02-26,2024-03-18,nee,0.09081790574057107,21
BARR,XGBoost,2024-02-26,2024-03-19,nee,0.06156843907638289,22
BARR,XGBoost,2024-02-26,2024-03-20,nee,0.10703790085984201,23
BARR,XGBoost,2024-02-26,2024-03-21,nee,0.09294035456896911,24
BARR,XGBoost,2024-02-26,2024-03-22,nee,0.07754856783042643,25
BARR,XGBoost,2024-02-26,2024-03-24,nee,0.12495091093033002,27
BARR,XGBoost,2024-02-26,2024-03-25,nee,0.06561411966717591,28
BARR,XGBoost,2024-02-26,2024-03-28,nee,0.09400774067368249,31
BARR,XGBoost,2024-02-26,2024-03-29,nee,0.06516294138468336,32
BARR,XGBoost,2024-02-26,2024-03-30,nee,0.06226356429558623,33
BARR,XGBoost,2024-02-26,2024-03-31,nee,0.07404244832516207,34
BARR,XGBoost,2024-02-27,2024-03-14,nee,0.07465119012546356,16
BARR,XGBoost,2024-02-27,2024-03-16,nee,0.0738874356404411,18
BARR,XGBoost,2024-02-27,2024-03-17,nee,0.07739150354943682,19
BARR,XGBoost,2024-02-27,2024-03-18,nee,0.09470571424728616,20
BARR,XGBoost,2024-02-27,2024-03-19,nee,0.07515934885876194,21
BARR,XGBoost,2024-02-27,2024-03-20,nee,0.11326260314859818,22
BARR,XGBoost,2024-02-27,2024-03-21,nee,0.0714967345406094,23
BARR,XGBoost,2024-02-27,2024-03-22,nee,0.11273782648969449,24
BARR,XGBoost,2024-02-27,2024-03-24,nee,0.1594894932771578,26
BARR,XGBoost,2024-02-27,2024-03-25,nee,0.10932047069902073,27
BARR,XGBoost,2024-02-27,2024-03-28,nee,0.09203256952540013,30
BARR,XGBoost,2024-02-27,2024-03-29,nee,0.08791916365508069,31
BARR,XGBoost,2024-02-27,2024-03-30,nee,0.06697690945432368,32
BARR,XGBoost,2024-02-27,2024-03-31,nee,0.0734693358452946,33
BARR,XGBoost,2024-02-27,2024-04-01,nee,0.08120102966909183,34
BARR,XGBoost,2024-02-28,2024-03-14,nee,0.06438276874813915,15
BARR,XGBoost,2024-02-28,2024-03-16,nee,0.06634064741845441,17
BARR,XGBoost,2024-02-28,2024-03-17,nee,0.0685581446916709,18
BARR,XGBoost,2024-02-28,2024-03-18,nee,0.09019481346898141,19
BARR,XGBoost,2024-02-28,2024-03-19,nee,0.06281634736378888,20
BARR,XGBoost,2024-02-28,2024-03-20,nee,0.1179430231933584,21
BARR,XGBoost,2024-02-28,2024-03-21,nee,0.06430090259995994,22
BARR,XGBoost,2024-02-28,2024-03-22,nee,0.0521785753211855,23
BARR,XGBoost,2024-02-28,2024-03-24,nee,0.11195183743543283,25
BARR,XGBoost,2024-02-28,2024-03-25,nee,0.06485597219008112,26
BARR,XGBoost,2024-02-28,2024-03-28,nee,0.08409553322140259,29
BARR,XGBoost,2024-02-28,2024-03-29,nee,0.06634201304353386,30
BARR,XGBoost,2024-02-28,2024-03-30,nee,0.07783326203814689,31
BARR,XGBoost,2024-02-28,2024-03-31,nee,0.06558401307773372,32
BARR,XGBoost,2024-02-28,2024-04-01,nee,0.0604131220256942,33
BARR,XGBoost,2024-02-28,2024-04-02,nee,0.07350007449140158,34
BARR,XGBoost,2024-02-29,2024-03-14,nee,0.06024455774398931,14
BARR,XGBoost,2024-02-29,2024-03-16,nee,0.06774909615935949,16
BARR,XGBoost,2024-02-29,2024-03-17,nee,0.06602092378210424,17
BARR,XGBoost,2024-02-29,2024-03-18,nee,0.10312742414145372,18
BARR,XGBoost,2024-02-29,2024-03-19,nee,0.07062585871789093,19
BARR,XGBoost,2024-02-29,2024-03-20,nee,0.1556420412123883,20
BARR,XGBoost,2024-02-29,2024-03-21,nee,0.07721884245901278,21
BARR,XGBoost,2024-02-29,2024-03-22,nee,0.06043093323692516,22
BARR,XGBoost,2024-02-29,2024-03-24,nee,0.16140432635553809,24
BARR,XGBoost,2024-02-29,2024-03-25,nee,0.084543027665494,25
BARR,XGBoost,2024-02-29,2024-03-28,nee,0.09559960141892243,28
BARR,XGBoost,2024-02-29,2024-03-29,nee,0.09702512218851968,29
BARR,XGBoost,2024-02-29,2024-03-30,nee,0.08094128266934714,30
BARR,XGBoost,2024-02-29,2024-03-31,nee,0.09106809504775945,31
BARR,XGBoost,2024-02-29,2024-04-01,nee,0.07613996282106957,32
BARR,XGBoost,2024-02-29,2024-04-02,nee,0.07706567801637822,33
BARR,XGBoost,2024-02-29,2024-04-03,nee,0.08909440274037693,34
BARR,XGBoost,2024-03-01,2024-03-14,nee,0.05853813572886724,13
BARR,XGBoost,2024-03-01,2024-03-16,nee,0.050703332045568865,15
BARR,XGBoost,2024-03-01,2024-03-17,nee,0.06442587149465714,16
BARR,XGBoost,2024-03-01,2024-03-18,nee,0.05831383303773689,17
BARR,XGBoost,2024-03-01,2024-03-19,nee,0.07120244167956075,18
BARR,XGBoost,2024-03-01,2024-03-20,nee,0.10136947479425316,19
BARR,XGBoost,2024-03-01,2024-03-21,nee,0.06999742379235793,20
BARR,XGBoost,2024-03-01,2024-03-22,nee,0.07676322028128654,21
BARR,XGBoost,2024-03-01,2024-03-24,nee,0.08649564687402211,23
BARR,XGBoost,2024-03-01,2024-03-25,nee,0.0968835739299179,24
BARR,XGBoost,2024-03-01,2024-03-28,nee,0.09433827456205339,27
BARR,XGBoost,2024-03-01,2024-03-29,nee,0.06387022802207254,28
BARR,XGBoost,2024-03-01,2024-03-30,nee,0.08078119777224144,29
BARR,XGBoost,2024-03-01,2024-03-31,nee,0.06228818926824554,30
BARR,XGBoost,2024-03-01,2024-04-01,nee,0.07425296060161818,31
BARR,XGBoost,2024-03-01,2024-04-02,nee,0.06372317080026314,32
BARR,XGBoost,2024-03-01,2024-04-03,nee,0.062157487346872,33
BARR,XGBoost,2024-03-01,2024-04-04,nee,0.07066417131857713,34
BARR,XGBoost,2024-03-02,2024-03-14,nee,0.07088600447524322,12
BARR,XGBoost,2024-03-02,2024-03-16,nee,0.044193528946914834,14
BARR,XGBoost,2024-03-02,2024-03-17,nee,0.05306283012238121,15
BARR,XGBoost,2024-03-02,2024-03-18,nee,0.06178020550528561,16
BARR,XGBoost,2024-03-02,2024-03-19,nee,0.059835800387967805,17
BARR,XGBoost,2024-03-02,2024-03-20,nee,0.10680918732738022,18
BARR,XGBoost,2024-03-02,2024-03-21,nee,0.056008106039123,19
BARR,XGBoost,2024-03-02,2024-03-22,nee,0.04989958715186145,20
BARR,XGBoost,2024-03-02,2024-03-24,nee,0.06410873094678146,22
BARR,XGBoost,2024-03-02,2024-03-25,nee,0.0448744642187863,23
BARR,XGBoost,2024-03-02,2024-03-28,nee,0.06170862120108894,26
BARR,XGBoost,2024-03-02,2024-03-29,nee,0.0681397791715705,27
BARR,XGBoost,2024-03-02,2024-03-30,nee,0.04603584755457784,28
BARR,XGBoost,2024-03-02,2024-03-31,nee,0.07125219032664569,29
BARR,XGBoost,2024-03-02,2024-04-01,nee,0.05751900565712327,30
BARR,XGBoost,2024-03-02,2024-04-02,nee,0.06858983374895933,31
BARR,XGBoost,2024-03-02,2024-04-03,nee,0.051742221135172746,32
BARR,XGBoost,2024-03-02,2024-04-04,nee,0.04668393987691172,33
BARR,XGBoost,2024-03-02,2024-04-05,nee,0.052874663179879704,34
BARR,XGBoost,2024-03-03,2024-03-14,nee,0.06211175042283868,11
BARR,XGBoost,2024-03-03,2024-03-16,nee,0.05066059496446786,13
BARR,XGBoost,2024-03-03,2024-03-17,nee,0.0453762667306706,14
BARR,XGBoost,2024-03-03,2024-03-18,nee,0.08546050517643018,15
BARR,XGBoost,2024-03-03,2024-03-19,nee,0.06407736150925437,16
BARR,XGBoost,2024-03-03,2024-03-20,nee,0.06908435606553161,17
BARR,XGBoost,2024-03-03,2024-03-21,nee,0.059535809637210384,18
BARR,XGBoost,2024-03-03,2024-03-22,nee,0.057488257274098106,19
BARR,XGBoost,2024-03-03,2024-03-24,nee,0.07643148249876959,21
BARR,XGBoost,2024-03-03,2024-03-25,nee,0.04084937951970087,22
BARR,XGBoost,2024-03-03,2024-03-28,nee,0.06728290971760151,25
BARR,XGBoost,2024-03-03,2024-03-29,nee,0.05669480483099375,26
BARR,XGBoost,2024-03-03,2024-03-30,nee,0.07353201530684175,27
BARR,XGBoost,2024-03-03,2024-03-31,nee,0.05345681745379688,28
BARR,XGBoost,2024-03-03,2024-04-01,nee,0.060700292347192784,29
BARR,XGBoost,2024-03-03,2024-04-02,nee,0.06026513646634147,30
BARR,XGBoost,2024-03-03,2024-04-03,nee,0.07298852056576108,31
BARR,XGBoost,2024-03-03,2024-04-04,nee,0.056332463258294746,32
BARR,XGBoost,2024-03-03,2024-04-05,nee,0.05066399694236251,33
BARR,XGBoost,2024-03-03,2024-04-06,nee,0.061398105467427536,34
BARR,XGBoost,2024-03-04,2024-03-14,nee,0.06388388219152027,10
BARR,XGBoost,2024-03-04,2024-03-16,nee,0.07673880359492613,12
BARR,XGBoost,2024-03-04,2024-03-17,nee,0.05004044628857979,13
BARR,XGBoost,2024-03-04,2024-03-18,nee,0.06694650206737394,14
BARR,XGBoost,2024-03-04,2024-03-19,nee,0.05681594810558486,15
BARR,XGBoost,2024-03-04,2024-03-20,nee,0.09491340732493687,16
BARR,XGBoost,2024-03-04,2024-03-21,nee,0.06199405315838125,17
BARR,XGBoost,2024-03-04,2024-03-22,nee,0.06554441905651252,18
BARR,XGBoost,2024-03-04,2024-03-24,nee,0.09864762443929903,20
BARR,XGBoost,2024-03-04,2024-03-25,nee,0.06567088945562727,21
BARR,XGBoost,2024-03-04,2024-03-28,nee,0.08954426707905033,24
BARR,XGBoost,2024-03-04,2024-03-29,nee,0.07678484172955052,25
BARR,XGBoost,2024-03-04,2024-03-30,nee,0.0665968803531016,26
BARR,XGBoost,2024-03-04,2024-03-31,nee,0.07621694845596132,27
BARR,XGBoost,2024-03-04,2024-04-01,nee,0.06085660288624034,28
BARR,XGBoost,2024-03-04,2024-04-02,nee,0.0921915391168256,29
BARR,XGBoost,2024-03-04,2024-04-03,nee,0.07834200405053732,30
BARR,XGBoost,2024-03-04,2024-04-04,nee,0.08525386185853218,31
BARR,XGBoost,2024-03-04,2024-04-05,nee,0.0768343477578585,32
BARR,XGBoost,2024-03-04,2024-04-06,nee,0.06839408801869164,33
BARR,XGBoost,2024-03-04,2024-04-07,nee,0.14670121422734833,34
BARR,XGBoost,2024-03-05,2024-03-14,nee,0.04791608967559404,9
BARR,XGBoost,2024-03-05,2024-03-16,nee,0.05168466567218494,11
BARR,XGBoost,2024-03-05,2024-03-17,nee,0.06617398509471496,12
BARR,XGBoost,2024-03-05,2024-03-18,nee,0.048394380032910835,13
BARR,XGBoost,2024-03-05,2024-03-19,nee,0.04859637487197415,14
BARR,XGBoost,2024-03-05,2024-03-20,nee,0.1345841373287183,15
BARR,XGBoost,2024-03-05,2024-03-21,nee,0.058929661476763436,16
BARR,XGBoost,2024-03-05,2024-03-22,nee,0.06086438569810949,17
BARR,XGBoost,2024-03-05,2024-03-24,nee,0.0951005359089291,19
BARR,XGBoost,2024-03-05,2024-03-25,nee,0.06709169438998533,20
BARR,XGBoost,2024-03-05,2024-03-28,nee,0.07081703678316263,23
BARR,XGBoost,2024-03-05,2024-03-29,nee,0.10589234903967977,24
BARR,XGBoost,2024-03-05,2024-03-30,nee,0.08798832884492863,25
BARR,XGBoost,2024-03-05,2024-03-31,nee,0.07949856503983871,26
BARR,XGBoost,2024-03-05,2024-04-01,nee,0.07662922901735562,27
BARR,XGBoost,2024-03-05,2024-04-02,nee,0.08581147823994405,28
BARR,XGBoost,2024-03-05,2024-04-03,nee,0.07567068286268643,29
BARR,XGBoost,2024-03-05,2024-04-04,nee,0.07711811942091126,30
BARR,XGBoost,2024-03-05,2024-04-05,nee,0.08268335293977858,31
BARR,XGBoost,2024-03-05,2024-04-06,nee,0.05070907055105094,32
BARR,XGBoost,2024-03-05,2024-04-07,nee,0.12467290940024342,33
BARR,XGBoost,2024-03-05,2024-04-08,nee,0.10063996690610115,34
BARR,XGBoost,2024-03-06,2024-03-14,nee,0.05419410536082984,8
BARR,XGBoost,2024-03-06,2024-03-16,nee,0.04217571497437054,10
BARR,XGBoost,2024-03-06,2024-03-17,nee,0.05125485957538708,11
BARR,XGBoost,2024-03-06,2024-03-18,nee,0.06803376685066179,12
BARR,XGBoost,2024-03-06,2024-03-19,nee,0.04465394663276168,13
BARR,XGBoost,2024-03-06,2024-03-20,nee,0.09270690270588278,14
BARR,XGBoost,2024-03-06,2024-03-21,nee,0.052334025002182254,15
BARR,XGBoost,2024-03-06,2024-03-22,nee,0.059944396299069294,16
BARR,XGBoost,2024-03-06,2024-03-24,nee,0.08561131009659358,18
BARR,XGBoost,2024-03-06,2024-03-25,nee,0.0613725027859467,19
